source_url,target_url,status,preserve_query_string,subpath_matching,preserve_path_suffix,include_subdomains
mlaify.io/aegis/,https://fhrp.org/aegis/,301,true,true,true,false
mlaify.io/attackmap/,https://fhrp.org/attackmap/,301,true,true,true,false
mlaify.io/docs/project-omekarapper/,https://fhrp.org/omekarapper/,301,true,false,false,false
mlaify.io/docs/project-opensift/,https://fhrp.org/opensift/,301,true,false,false,false
mlaify.io/docs/project-opencontractrx/,https://fhrp.org/opencontractrx/,301,true,false,false,false
mlaify.io/docs/projects/,https://fhrp.org/projects/,301,true,false,false,false
mlaify.io/docs/,https://fhrp.org/projects/,301,true,false,false,false
mlaify.io/build-principles/,https://fhrp.org/principles/,301,true,false,false,false
mlaify.io/contribute/,https://fhrp.org/contribute/,301,true,true,true,false
mlaify.io/about/,https://fhrp.org/about/,301,true,true,true,false
mlaify.io/privacy/,https://fhrp.org/privacy-policy/,301,true,false,false,false
mlaify.io/security/,https://fhrp.org/security/,301,true,true,true,false
mlaify.io/.well-known/security.txt,https://fhrp.org/.well-known/security.txt,301,false,false,false,false
mlaify.io/humans.txt,https://fhrp.org/humans.txt,301,false,false,false,false
mlaify.io/privacy.json,https://fhrp.org/privacy.json,301,false,false,false,false
mlaify.io/,https://fhrp.org/projects/,301,true,false,false,false
